Name,Name.1,EntityName,OtherName,DER,ICR,NPM,DukunganPemerintah,cluster
Parent and Holding Company,Jasa Pariwisata dan Pendukung,PT Aviasi Pariwisata Indonesia (Persero),'InJourney',1.61,-2.02,-0.77,0,0
Parent and Holding Company,Jasa Pariwisata dan Pendukung,PT Garuda Indonesia (Persero) Tbk,'Garuda Indonesia',-2.18,-6.93,-3.12,0,4
Perusahaan Umum (Perum),Jasa Pariwisata dan Pendukung,Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia,'AirNav Indonesia',0.15,-23.16,-0.36,0,4
Parent and Holding Company,Jasa Pariwisata dan Pendukung,PT Pengembangan Pariwisata Indonesia (Persero),'ITDC',1.44,-5.02,-0.51,1,0
Parent and Holding Company,Telekomunikasi dan Media,PT Danareksa (Persero),'Danareksa',2.71,1.31,0.03,1,0
Parent and Holding Company,Telekomunikasi dan Media,PT Telekomunikasi Indonesia (Persero). Tbk.,'Telkom',0.91,10.66,0.24,0,0
Parent and Holding Company,Energi. Minyak dan Gas,PT Pertamina (Persero),'Pertamina',1.34,5.01,0.04,1,0
Parent and Holding Company,Energi. Minyak dan Gas,PT Perusahaan Listrik Negara (Persero),'PLN',0.64,2.14,0.04,4,0
Parent and Holding Company,Kesehatan,PT Biofarma (Persero),'Biofarma',1.33,4.21,0.04,1,0
Parent and Holding Company,Manufaktur,PT Krakatau Steel (Persero) Tbk,'Krakatau Steel',6.23,1.65,0.03,0,0
Parent and Holding Company,Manufaktur,PT Industri Kereta Api (Persero),'INKA',6.16,1.23,0.03,0,0
Perusahaan Umum (Perum),Pangan dan Pupuk,Perum BULOG,'BULOG',1.63,0.54,-0.03,1,0
Parent and Holding Company,Pangan dan Pupuk,PT Pupuk Indonesia (Persero),'Pupuk Indonesia Holding Company',0.79,5.13,0.07,0,0
Parent and Holding Company,Pangan dan Pupuk,PT Rajawali Nusantara Indonesia (Persero),'ID FOOD (RNI)',3.37,1.0,0.03,0,0
Parent and Holding Company,Perkebunan dan Kehutanan,PT Perkebunan Nusantara III (Persero),'PTPN 3',1.2,3.09,0.0,0,0
Perusahaan Umum (Perum),Perkebunan dan Kehutanan,Perum Perhutani,'Perhutani',0.48,1.0,0.09,0,0
Parent and Holding Company,Mineral dan Batubara,PT Indonesia Asahan Aluminium (Persero),'MIND ID (Inalum)',1.35,4.01,0.15,0,0
Parent and Holding Company,Asuransi dan Dana Pensiun,PT Reasuransi Indonesia Utama (Persero),'PT RIU',3.04,0.87,-0.05,0,0
Parent and Holding Company,Asuransi dan Dana Pensiun,PT Taspen (Persero),'Taspen',23.38,1.03,0.0,0,0
Parent and Holding Company,Asuransi dan Dana Pensiun,PT Asuransi Jiwasraya (Persero),'Jiwasraya',-3.16,-16.21,0.0,0,4
Parent and Holding Company,Asuransi dan Dana Pensiun,PT Bahana Pembinaan Usaha Indonesia (Persero),'Bahana',1.84,54.56,0.14,1,2
Parent and Holding Company,Keuangan,PT Bank Mandiri (Persero) Tbk,'Bank Mandiri',5.97,2.55,0.31,0,0
Parent and Holding Company,Keuangan,PT Bank Negara Indonesia (Persero) Tbk,'Bank BNI',6.63,2.07,0.22,0,0
Parent and Holding Company,Keuangan,PT Bank Rakyat Indonesia (Persero) Tbk,'Bank BRI',4.75,2.31,0.21,1,0
Parent and Holding Company,Keuangan,PT Bank Tabungan Negara (Persero) Tbk,'Bank BTN',15.31,1.25,0.1,0,0
Perusahaan Umum (Perum),Keuangan,Perum Percetakan Uang Republik Indonesia,'PERURI',0.63,4.24,0.06,0,0
Parent and Holding Company,Infrastruktur,PT Adhi Karya (Persero) Tbk,'Adhi Karya',6.05,1.51,0.01,0,0
Parent and Holding Company,Infrastruktur,PT Semen Baturaja (Persero) Tbk,'Semen Baturaja',0.68,1.38,0.03,0,0
Parent and Holding Company,Infrastruktur,PT Brantas Abipraya (Persero),'Brantas Abipraya',3.07,1.38,0.02,0,0
Parent and Holding Company,Infrastruktur,PT Hutama Karya (Persero),'Hutama Karya',1.43,0.31,-0.12,2,0
Parent and Holding Company,Infrastruktur,PT Jasa Marga (Persero) Tbk,'Jasa Marga',2.97,0.54,0.06,0,0
Parent and Holding Company,Infrastruktur,PT Pembangunan Perumahan (Persero) Tbk,'PT PP',2.88,1.72,0.02,0,0
Parent and Holding Company,Infrastruktur,PT Semen Indonesia (Persero) Tbk,'PT SIG',0.92,3.13,0.06,0,0
Parent and Holding Company,Infrastruktur,PT Waskita Karya (Persero) Tbk,'Waskita',5.7,0.78,-0.15,1,0
Parent and Holding Company,Infrastruktur,PT Wijaya Karya (Persero) Tbk,'PT WIKA',2.98,1.17,0.01,0,0
Perusahaan Umum (Perum),Infrastruktur,Perum Perumnas,'Perumnas',21.12,-0.04,-0.45,0,0
Parent and Holding Company,Logistik,PT ASDP Indonesia Ferry (Persero),'ASDP Ferry',0.19,8.42,0.09,0,0
Parent and Holding Company,Logistik,PT Pelabuhan Indonesia (Persero),'PT Pelindo',1.76,2.84,0.1,1,0
Perusahaan Umum (Perum),Logistik,Perum Damri,'Damri',1.7,-11.13,-0.24,0,4
Perusahaan Umum (Perum),Logistik,Perum Pengangkutan Penumpang Djakarta,'Perum PPD',1.28,-0.62,-0.04,0,0
Parent and Holding Company,Logistik,PT Pos Indonesia (Persero),'Pos Indonesia',0.73,4.91,0.13,1,0
Parent and Holding Company,Logistik,PT Kereta Api Indonesia (Persero),'PT KAI',1.68,0.39,-0.03,3,0
Special-Mission Vehicle (SMV),Keuangan,PT Sarana Multigriya Finansial (Persero),'PT SMF',1.39,1.4,0.22,1,0
Special-Mission Vehicle (SMV),Keuangan,PT Sarana Multi Infrastruktur (Persero),'PT SMI',1.9,1.86,0.35,1,0
Special-Mission Vehicle (SMV),Keuangan,PT Penjaminan Infrastruktur Indonesia (Persero),'PT PII',0.03,92.96,0.68,1,3
Special-Mission Vehicle (SMV),Energi. Minyak dan Gas,PT Geo Dipa Energi (Persero),'PT GDE',0.3,13.1,0.2,1,0
Special-Mission Vehicle (SMV),Keuangan,Lembaga Pembiayaan Ekspor Indonesia,'LPEI',19.56,1.13,0.09,1,0
