Company;Year;Code;ASET LANCAR;ASET TIDAK LANCAR;TOTAL ASET;LIABILITAS JANGKA PENDEK;LIABILITAS JANGKA PANJANG;TOTAL LIABILITAS;MODAL  SAHAM;TAMBAHAN MODAL  DISETOR;BPYBDS;EKUITAS LAIN;SALDO LABA (RUGI);EKUITAS YANG DIATRIBUSIKAN KEPADA  PEMILIK ENTITAS;KEPENTINGAN NON PENGENDALI;JUMLAH  EKUITAS
Perum Bulog;2021;18;16217343;6818601;23035944;13650113;812604;14462717;12522387;0;0;0;-3827210;8695177;-121949;8573227
Perum Damri;2021;47;85770;871228;956998;143134;459463;602598;647421;15207;0;-103359;-204868;354401;0;354401
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2021;5;1898274;2729328;4627602;526900;80141;607041;2446043;-516195;0;-27207;2117920;4020561;0;4020561
Perum Pengangkutan Penumpang Djakarta;2021;48;104325;577275;681600;185297;197229;382526;501662;1146;0;357320;-561053;299073;0;299073
Perum Percetakan Uang Republik Indonesia;2021;33;1816241;3954667;5770908;1010889;1227171;2238060;363573;-64059;0;-84907;3302742;3517349;15499;3532848
Perum Perhutani;2021;22;2713090;14349650;17062740;1412530;4154530;5567060;2586303;-1334148;0;-1624140;11875895;11503910;-8230;11495680
Perum Perumnas;2021;43;6401462;709104;7110566;2341330;4447818;6789147;1961375;55036;0;270198;-1966864;319745;1674;321419
Perum Produksi Film Negara;2021;9;4187;28928;33115;12550;14410;26960;56783;0;0;0;-50627;6156;0;6156
PT Adhi Karya (Persero) Tbk;2021;34;31600943;8299395;39900338;31127452;3115179;34242631;356085;2588834;0;613523;2041377;5599819;57888;5657707
PT ASABRI (Persero);2021;26;33855386;0;33855386;0;0;39096236;200000;0;0;-2110520;-3330330;-5240850;0;-5240850
PT ASDP Indonesia Ferry (Persero);2021;44;2180452;6040684;8221136;672049;641613;1313662;5173195;8445;0;0;1596229;6777869;129606;6907475
PT Asuransi Jiwasraya (Persero);2021;27;13721217;0;13721217;0;0;19658360;235000;19397166;0;2692701;-28268521;-5943654;6511;-5937143
PT Aviasi Pariwisata Indonesia (Persero);2021;3;7425380;87112435;94537815;11521483;46816500;58337982;65164367;-28765976;0;-45;-200209;36198137;1695;36199832
PT Bahana Pembinaan Usaha Indonesia (Persero);2021;28;124876416;0;124876416;0;0;82063371;87163537;-52377405;0;1631709;5418559;41836400;976646;42813046
PT Bank Mandiri (Persero) Tbk;2021;29;1725611128;0;1725611128;0;0;1503499846;11666667;17643264;0;32788747;142587934;204686612;17424670;222111282
PT Bank Negara Indonesia (Persero) Tbk;2021;30;964837692;0;964837692;0;0;838317715;9054807;17010254;0;19423107;78250204;123738372;2781605;126519977
PT Bank Rakyat Indonesia (Persero) Tbk;2021;31;1678097734;0;1678097734;0;0;1386310930;7577950;76242898;0;19905087;185009048;288734983;3051821;291786804
PT Bank Tabungan Negara (Persero) Tbk;2021;32;371868311;0;371868311;0;0;350461664;5295000;2054454;0;2917672;11139521;21406647;0;21406647
PT BioFarma (Persero);2021;12;22254705;18189473;40444178;16971393;6091318;23062711;17479821;-6370720;0;1681600;3330108;16120809;1260658;17381467
PT Biro Klasifikasi Indonesia (Persero);2021;14;4182434;3205707;7388141;924620;892784;1817404;7012393;-2630821;0;263900;623945;5269417;301320;5570737
PT Brantas Abipraya (Persero);2021;36;4105924;2863790;6969714;3302174;1953447;5255621;161555;0;0;401368;1121894;1684817;29277;1714094
PT Danareksa (Persero);2021;7;2890992;0;2890992;0;0;2112190;701480;240655;0;439745;-710182;671698;107104;778802
PT Garuda Indonesia (Persero) Tbk;2021;4;5567495;112943515;118511010;81727552;103066332;184793884;11881939;196375;0;7096464;-85060717;-65885939;-396934;-66282873
PT Hutama Karya (Persero);2021;37;28206904;104710599;132917503;26708953;51399800;78108753;33808000;19044037;0;636255;454007;53942299;866451;54808750
PT Indonesia Asahan Aluminium (Persero);2021;23;62403839;142531814;204935653;29931355;87767404;117698759;54177941;-17344313;0;13262146;19930150;70025924;17210970;87236894
PT Industri Kereta Api (Persero);2021;17;2323967;2065967;4389934;3328405;448480;3776885;1251843;0;0;754376;-1421457;584762;28287;613049
PT Industri Nuklir Indonesia (Persero);2021;13;29051;17568;46619;33960;27289;61249;27200;0;0;969;-42799;-14630;0;-14630
PT Jasa Marga (Persero) Tbk;2021;38;10361876;90881008;101242884;12014583;63727986;75742569;3628936;3997085;0;-698072;13677902;20605851;4894464;25500315
PT Kereta Api Indonesia (Persero);2021;50;9706682;53062145;62768827;9574300;29782787;39357086;19168743;0;0;-1629015;5723245;23262973;148767;23411740
PT Krakatau Steel (Persero) Tbk;2021;16;13893665;39986881;53880546;21228231;25197786;46426016;9673198;2498936;0;26245224;-30324844;8092513;-637984;7454530
PT LEN Industri (Persero);2021;15;5480798;1904336;7385134;6239471;782613;7022084;175001;0;0;538098;-482982;230117;132933;363050
PT Pelabuhan Indonesia (Persero);2021;46;23380595;92848480;116229075;13536422;60639543;74175965;8475067;-1101497;0;-1224965;34360424;40509030;1544080;42053109
PT Pelayaran Nasional Indonesia (Persero);2021;45;4226942;3231745;7458687;810680;222432;1033112;7629900;398022;0;-123467;-1481848;6422608;2967;6425575
PT Pembangunan Perumahan (Persero) Tbk;2021;39;33731769;21842075;55573844;30145581;11098113;41243694;619990;4710055;0;2132949;3390262;10853255;3476894;14330150
PT Pengembangan Pariwisata Indonesia (Persero);2021;6;1177651;4564926;5742577;739308;2643441;3382749;1380000;297808;0;480596;203280;2361685;-1857;2359827
PT Perkebunan Nusantara III (Persero);2021;21;24494000;120131558;144625558;20030532;58888052;78918584;40216132;0;0;31591981;-10690927;61117185;4589788;65706974
PT Pertamina (Persero);2021;10;410023539;704385012;1114408551;226877620;411679730;638557350;173329926;-14613947;12453;62699461;221077611;442505504;33345698;475851202
PT Perusahaan Listrik Negara (Persero);2021;11;85911375;1527305081;1613216456;146538480;485070853;631609333;135460886;10109818;0;685408045;149619244;980597993;1009130;981607123
PT Pos Indonesia (Persero);2021;49;3531048;6158109;9689157;2777652;1318030;4095682;455023;0;0;2528742;2613945;5597710;-4235;5593475
PT Pupuk Indonesia (Persero);2021;19;44174212;84288960;128463172;33008039;23515157;56523196;25000000;0;0;28805426;18108850;71914276;25700;71939976
PT Rajawali Nusantara Indonesia (Persero);2021;20;4931385;9175575;14106960;4719469;2989073;7708542;1051567;996231;0;3113614;1184641;6346053;52365;6398418
PT Reasuransi Indonesia Utama (Persero);2021;24;11205408;0;11205408;0;0;8588965;878358;270;0;278416;1459381;2616424;19;2616443
PT Semen Baturaja (Persero) Tbk;2021;35;1311882;4505864;5817746;473114;1878387;2351501;993253;1270607;0;-54382;1256730;3466208;37;3466245
PT Semen Indonesia (Persero) Tbk;2021;40;15270235;61234005;76504240;14210166;22511191;36721357;593152;1458258;0;1159060;32944087;36154557;3628326;39782883
PT Taspen (Persero);2021;25;306731495;0;306731495;0;0;294151020;500000;0;0;-3322897;15305586;12482689;97786;12580476
PT Telekomunikasi Indonesia (Persero) Tbk;2021;8;61277000;215907000;277184000;69131000;62654000;131785000;4953000;2711000;0;9395000;104587000;121646000;23753000;145399000
PT Waskita Karya (Persero) Tbk;2021;41;47011516;61758217;108769733;25420448;63213661;88634108;2631589;12474965;0;836238;-2641123;13301670;6833955;20135625
PT Wijaya Karya (Persero) Tbk;2021;42;37186634;32199160;69385794;36969570;14981147;51950717;896995;6555499;0;1137580;4457009;13047083;4387995;17435078
Perum Bulog;2020;18;500364;428054;928418;196286;17176;213462;31701;4186;0;6432;670851;713170;1786;714956
Perum Damri;2020;47;412581;451196;863777;167422;351067;518489;24498;316936;0;-12915;16769;345288;0;345288
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2020;5;10364;30059;40423;11893;5388;17281;56783;0;0;0;-33641;23142;0;23142
Perum Pengangkutan Penumpang Djakarta;2020;48;6864358;734237;7598595;4006016;2947744;6953760;1000;1960375;0;281006;-1606173;636208;8627;644835
Perum Percetakan Uang Republik Indonesia;2020;33;64697;234015;298712;159380;100826;260206;231769;270328;0;5683;-469274;38506;0;38506
Perum Perhutani;2020;22;15104050;6539207;21643258;12514800;885854;13400654;12522387;0;0;-156156;-4019257;8346974;-104370;8242604
Perum Perumnas;2020;43;2515230;14080137;16595367;1173624;4168438;5342062;2586303;-1334148;0;-1440907;11450804;11262052;-8747;11253305
Perum Produksi Film Negara;2020;9;140523;927951;1068474;464563;199071;663635;43749;0;0;761072;-399982;404840;0;404840
PT Adhi Karya (Persero) Tbk;2020;34;519226;1636656;2155882;746468;515984;1262452;363945;111968;0;-5764;423161;893310;120;893430
PT ASABRI (Persero);2020;26;325523554;648131450;973655004;150815907;381996660;532812567;230425218;-13305583;12453;-526920;193752923;410358091;30484347;440842437
PT ASDP Indonesia Ferry (Persero);2020;44;1807238;1938550;3745788;383079;522001;905081;300000;1141;0;663883;1876515;2841539;-832;2840707
PT Asuransi Jiwasraya (Persero);2020;27;456564;1138244;1594808;268634;596036;864669;1021315;39722;0;744939;-1075842;730133;5;730139
PT Aviasi Pariwisata Indonesia (Persero);2020;3;25372964;59605126;1337523921;9052581;47466644;1176205011;16898789;16365717;0;22742871;101104867;157112245;4206664;161318910
PT Bahana Pembinaan Usaha Indonesia (Persero);2020;28;32084;126801;158885;110043;10417;120460;13000;2276;0;104868;-81719;38425;0;38425
PT Bank Mandiri (Persero) Tbk;2020;29;154729;452685;607413;167084;293312;460396;350537;0;0;1629;-205149;147017;0;147017
PT Bank Negara Indonesia (Persero) Tbk;2020;30;917692;2067735;2985427;228700;711576;940276;880000;797808;0;-7467;375407;2045748;-597;2045151
PT Bank Rakyat Indonesia (Persero) Tbk;2020;31;18267536;124245178;142512713;39606354;42521842;82128196;41743385;1271615;0;29805571;-16136967;56683604;3700913;60384517
PT Bank Tabungan Negara (Persero) Tbk;2020;32;0;0;31664889;0;0;26077979;2300000;1500000;0;339;1772694;5573033;13877;5586910
PT BioFarma (Persero);2020;12;0;0;31077171;0;0;44379127;200000;0;0;-1972956;-11529000;-13301956;0;-13301956
PT Biro Klasifikasi Indonesia (Persero);2020;14;58622048;147282964;205905012;34590544;63017894;97608438;25726865;1458258;0;32115367;47310427;106610917;1685657;108296574
PT Brantas Abipraya (Persero);2020;36;347963;252287;600250;111926;1850;113776;150000;0;0;0;336474;486474;0;486474
PT Danareksa (Persero);2020;7;4983891;9440000;14423891;5101332;2933626;8034959;1051567;996231;0;3148698;1114242;6310739;78194;6388933
