NO;BUMN;Company;Status;Year;debt to equity t-1;equity minus t-1;solvability t-1 (total liabilities/total assets);kenaikan (penurunan) revenue (revenue t-1-revenue t-2/revenue t-2);net profit margin t-1 (laba bersih/penjualan);Jenis Perusahaan (apakah PT);ROA t-1 (net income/assets);Likuiditas t-1 (current assets/current liabilities);debt to equity t-2;solvability t-2 (total liabilities/total assets);net profit margin t-2 (laba bersih/penjualan);ROA t-2 (net income/assets);Likuiditas t-2 (current assets/current liabilities)2;asset turnover penjualan/total aset (t-1);asset turnover penjualan/total aset (t-2);PMN_Portion;PSO_Portion;SLA_Portion;Guarantee_Portion
77;Perum Perhutani;Perum Perhutani;Rugi;2020;0.445644517;0;0.308267013;-0.225295638;0.108556936;0;0.02731308;0.427051843;0.362006128;0.249444928;0.121966226;0.04074137;0.297821658;0.251601423;0.334038128;0;0;0;0
78;Perum Perikanan indonesia;Perum Perikanan indonesia;Rugi;2020;1.185451969;0;0.542428745;-0.5114593;0.020274506;0;0.010728624;0.536972194;1.191535323;0.54369889;0.02593557;0.028534735;0.447833721;0.529168175;1.100216239;0;0;0;0
79;Perum Bulog;Perum Bulog;Untung;2020;2.975307922;0;0.748447159;-0.063283387;-0.066448587;0;-0.049152221;0.897573365;3.020344601;0.751265103;-0.033822105;-0.022139082;0.899466615;0.739703033;0.65457435;0;0;0;0
80;Perum Jasa Tirta I;Perum Jasa Tirta I;Untung;2020;0.195211447;0;0.163327793;0.087165558;0.222914712;0;0.123809864;0.225425182;0.190016512;0.159675526;0.227175297;0.131289201;0.225606185;0.555413604;0.577920235;0;0;0;0
81;Perum Jasa Tirta II;Perum Jasa Tirta II;Untung;2020;0.197578021;0;0.164981336;-0.015340169;0.189214657;0;0.107418646;0.184711228;0.225541321;0.18403404;0.201801234;0.126516853;0.216878712;0.56770785;0.626937953;0;0;0;0
82;Perum Percetakan Negara Republik Indonesia;Perum Percetakan Negara Republik Indonesia;Rugi;2020;3.083359287;0;0.755103597;-0.282457084;0.009714736;0;0.002756531;0.604849406;2.411256942;0.706852923;0.030339637;0.014524919;0.509732667;0.283747437;0.478743982;0;0;0;0
83;Perum Percetakan Uang Republik Indonesia;Perum Percetakan Uang Republik Indonesia;Rugi;2020;0.977856899;0;0.494402249;0.215282759;0.186709714;0;0.119577727;0.567720044;1.010752804;0.502673825;0.089952595;0.056877885;0.505995465;0.640447273;0.632309551;0;0;0;0
84;Perum Produksi Film Negara;Perum Produksi Film Negara;Rugi;2020;1.006594373;0;0.501643175;-0.35300693;0.139046303;0;0.048978797;1.374393883;1.02122824;0.505251322;0.237737536;0.127204;1.616076104;0.352248107;0.535060647;0;0;0;0
85;Perum Lembaga Kantor Berita Nasional Antara;Perum Lembaga Kantor Berita Nasional Antara;Untung;2020;3.340634819;0;0.769618952;0.100274794;0.034641154;0;0.053223385;0.383412314;3.086958168;0.755319248;0.035302053;0.055537022;0.402941157;1.536420654;1.573195255;0;0;0;0
86;Perum Perumnas;Perum Perumnas;Untung;2020;2.560308833;0;0.71912549;-0.679430141;-0.477545535;0;-0.039329789;0.429532715;1.964452431;0.662669574;0.114645182;0.030460797;0.596263188;0.082358196;0.265696268;0;0;0;0
87;Perum Damri;Perum Damri;Rugi;2020;0.610401207;0;0.37903673;0.003452433;0.034833902;0;0.033880492;0.499483919;0.571346834;0.363603262;0.017421333;0.018516976;0.660054829;0.972629807;1.062890905;0;0;0;0
88;Perum Pengangkutan Penumpang Djakarta;Perum Pengangkutan Penumpang Djakarta;Rugi;2020;3.41245956;0;0.773369028;0.27379061;0.056725184;0;0.07313459;1.629321509;5.624970325;0.849055928;0.040547368;0.04339866;1.481284667;1.289279036;1.070320033;0;0;0;0
89;Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;Untung;2020;0.187456942;0;0.157864201;0.054067181;0.144857798;0;0.08178931;0.241175899;0.209749864;0.173382837;0.11644511;0.067811055;0.263293955;0.564617929;0.582343519;0;0;0;0
