Company;Year;Code;debt to equity t-1;equity minus t-1;solvability t-1 (total liabilities/total assets);kenaikan (penurunan) revenue (revenue t-1-revenue t-2/revenue t-2);net profit margin t-1 (laba bersih/penjualan);Jenis Perusahaan (apakah PT);ROA t-1 (net income/assets);Likuiditas t-1 (current assets/current liabilities);debt to equity t-2;solvability t-2 (total liabilities/total assets);net profit margin t-2 (laba bersih/penjualan);ROA t-2 (net income/assets);Likuiditas t-2 (current assets/current liabilities)2;asset turnover penjualan/total aset (t-1);asset turnover penjualan/total aset (t-2);sector_Pariwisata;sector_Media;sector_Energi;sector_Kesehatan;sector_Manufaktur;sector_PanganPupuk;sector_PerkebunanKehutanan;sector_Pertambangan;sector_Asuransi_Dana_Pensiun;sector_Perbankan;sector_Infrastruktur;sector_Logistik;PMN_Portion;PSO_Portion;SLA_Portion;Guarantee_Portion
PT Aviasi Pariwisata Indonesia (Persero);2021;3;2.645247127;0;0.725670177;4.854671148;0.058510777;1;0.005521015;2.802843079;6.135652121;0.859858639;0.122778543;0.027051514;1.241594952;0.094358934;0.220327697;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PT Garuda Indonesia (Persero) Tbk;2021;4;2.542266978;0;0.717694909;-0.955790364;0.011520562;1;0.010248519;1.749998876;22.06025571;0.956635346;0.00141231;0.001449282;0.348050668;0.889584998;1.026177941;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2021;5;0.746737533;0;0.427504144;-0.997839767;0.013674755;0;0.002523316;0.87143698;0.187456942;0.157864201;0.144857798;0.08178931;4.146351289;0.184523662;0.564617929;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PT Pengembangan Pariwisata Indonesia (Persero);2021;6;2.490303138;0;0.713491935;2.980454769;-0.390591328;1;-0.100637286;1.062799209;2.991866101;0.749490595;0.169284607;0.026018681;1.024074974;0.257653663;0.153697857;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PT Danareksa (Persero);2021;7;0.689630223;0;0.408154526;16.70031649;0.005340486;1;0.002582174;0.976978366;2.032195661;0.670205979;0.044757861;0.007183118;1.445987971;0.4835092;0.160488411;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PT Telekomunikasi Indonesia (Persero) Tbk;2021;8;10.7837819;0;0.915137601;-0.999319672;0.027550688;1;0.022772898;1.157041139;3.41245956;0.773369028;0.203530358;0.124733283;0.714797238;0.826581825;0.612848541;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perum Produksi Film Negara;2021;9;6.375456004;0;0.864415163;9.05024188;-0.390690862;0;-0.053175838;0.30248427;1.148863654;0.534637761;0.139046303;0.048978797;0.72759346;0.136107196;0.352248107;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PT Pertamina (Persero);2021;10;4.630602517;0;0.822399113;-0.833053019;0.136884481;1;0.012345343;1.156851525;2.414815528;0.707158413;0.047969469;0.039718109;1.891612158;0.090188037;0.827987264;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.007698126;0
PT Perusahaan Listrik Negara (Persero);2021;11;2.266914374;0;0.693900762;-0.585881008;0.125966517;1;0.006050214;0.649163517;1.35475174;0.575326782;0.012021246;0.002727428;0.950279661;0.048030332;0.226883941;0;0;1;0;0;0;0;0;0;0;0;0;0.010090162;0.443699793;0;0.094172781
PT BioFarma (Persero);2021;12;2.187835925;0;0.686307569;-0.779356277;-2.040104127;1;-0.18144203;0.700265487;1.648367869;0.622408952;0.026901574;0.012201218;1.165223165;0.088937632;0.453550344;0;0;0;1;0;0;0;0;0;0;0;0;-0.150353828;0;0;0
PT Industri Nuklir Indonesia (Persero);2021;13;3.131583422;0;0.757962046;3.709195783;0.043332767;1;0.027326181;1.277494061;5.306356976;0.841429846;0.070596677;0.050391033;1.524774775;0.630612418;0.713787601;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
PT Biro Klasifikasi Indonesia (Persero);2021;14;1.625779183;0;0.619160664;18.87063154;0.04497552;1;0.023478258;1.694742008;0.445644517;0.308267013;0.114369052;0.096847254;3.457978625;0.522023043;0.846795986;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PT LEN Industri (Persero);2021;15;6.757544279;0;0.871093227;-0.990328633;-0.599536472;1;-0.041718939;0.455725881;0.977856899;0.494402249;0.016810341;0.010536857;1.032639269;0.069585323;0.626808016;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
PT Krakatau Steel (Persero) Tbk;2021;16;4.667692696;0;0.823561358;-0.997372919;0.006516656;1;0.00038999;2.59981976;12.07997472;0.923547253;-0.361921323;-0.125673184;1.257327166;0.059845059;0.347238961;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
