Company;Year;Code;TOTAL LIABILITAS
Perum Bulog;2021;18;16217343
Perum Damri;2021;47;85770
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2021;5;1898274
Perum Pengangkutan Penumpang Djakarta;2021;48;104325
Perum Percetakan Uang Republik Indonesia;2021;33;1816241
Perum Perhutani;2021;22;2713090
Perum Perumnas;2021;43;6401462
Perum Produksi Film Negara;2021;9;4187
PT Adhi Karya (Persero) Tbk;2021;34;31600943
PT ASABRI (Persero);2021;26;33855386
PT ASDP Indonesia Ferry (Persero);2021;44;2180452
PT Asuransi Jiwasraya (Persero);2021;27;13721217
PT Aviasi Pariwisata Indonesia (Persero);2021;3;7425380
PT Bahana Pembinaan Usaha Indonesia (Persero);2021;28;124876416
PT Bank Mandiri (Persero) Tbk;2021;29;1725611128
PT Bank Negara Indonesia (Persero) Tbk;2021;30;964837692
PT Bank Rakyat Indonesia (Persero) Tbk;2021;31;1678097734
PT Bank Tabungan Negara (Persero) Tbk;2021;32;371868311
PT BioFarma (Persero);2021;12;22254705
PT Biro Klasifikasi Indonesia (Persero);2021;14;4182434
PT Brantas Abipraya (Persero);2021;36;4105924
PT Danareksa (Persero);2021;7;2890992
PT Garuda Indonesia (Persero) Tbk;2021;4;5567495
PT Hutama Karya (Persero);2021;37;28206904
PT Indonesia Asahan Aluminium (Persero);2021;23;62403839
PT Industri Kereta Api (Persero);2021;17;2323967
PT Industri Nuklir Indonesia (Persero);2021;13;29051
PT Jasa Marga (Persero) Tbk;2021;38;10361876
PT Kereta Api Indonesia (Persero);2021;50;9706682
PT Krakatau Steel (Persero) Tbk;2021;16;13893665
PT LEN Industri (Persero);2021;15;5480798
PT Pelabuhan Indonesia (Persero);2021;46;23380595
PT Pelayaran Nasional Indonesia (Persero);2021;45;4226942
PT Pembangunan Perumahan (Persero) Tbk;2021;39;33731769
PT Pengembangan Pariwisata Indonesia (Persero);2021;6;1177651
PT Perkebunan Nusantara III (Persero);2021;21;24494000
PT Pertamina (Persero);2021;10;410023539
PT Perusahaan Listrik Negara (Persero);2021;11;85911375
PT Pos Indonesia (Persero);2021;49;3531048
PT Pupuk Indonesia (Persero);2021;19;44174212
PT Rajawali Nusantara Indonesia (Persero);2021;20;4931385
PT Reasuransi Indonesia Utama (Persero);2021;24;11205408
PT Semen Baturaja (Persero) Tbk;2021;35;1311882
PT Semen Indonesia (Persero) Tbk;2021;40;15270235
PT Taspen (Persero);2021;25;306731495
PT Telekomunikasi Indonesia (Persero) Tbk;2021;8;61277000
PT Waskita Karya (Persero) Tbk;2021;41;47011516
PT Wijaya Karya (Persero) Tbk;2021;42;37186634
Perum Bulog;2020;18;500364
Perum Damri;2020;47;412581
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2020;5;10364
Perum Pengangkutan Penumpang Djakarta;2020;48;6864358
Perum Percetakan Uang Republik Indonesia;2020;33;64697
Perum Perhutani;2020;22;15104050
Perum Perumnas;2020;43;2515230
Perum Produksi Film Negara;2020;9;140523
PT Adhi Karya (Persero) Tbk;2020;34;519226
PT ASABRI (Persero);2020;26;325523554
PT ASDP Indonesia Ferry (Persero);2020;44;1807238
PT Asuransi Jiwasraya (Persero);2020;27;456564
PT Aviasi Pariwisata Indonesia (Persero);2020;3;25372964
PT Bahana Pembinaan Usaha Indonesia (Persero);2020;28;32084
PT Bank Mandiri (Persero) Tbk;2020;29;154729
PT Bank Negara Indonesia (Persero) Tbk;2020;30;917692
PT Bank Rakyat Indonesia (Persero) Tbk;2020;31;18267536
PT Bank Tabungan Negara (Persero) Tbk;2020;32;0
PT BioFarma (Persero);2020;12;0
PT Biro Klasifikasi Indonesia (Persero);2020;14;58622048
PT Brantas Abipraya (Persero);2020;36;347963
PT Danareksa (Persero);2020;7;4983891
PT Garuda Indonesia (Persero) Tbk;2020;4;389282
PT Hutama Karya (Persero);2020;37;26791
PT Indonesia Asahan Aluminium (Persero);2020;23;16092
PT Industri Kereta Api (Persero);2020;17;12527370
PT Industri Nuklir Indonesia (Persero);2020;13;175856
PT Jasa Marga (Persero) Tbk;2020;38;117652
PT Kereta Api Indonesia (Persero);2020;50;3399627
PT Krakatau Steel (Persero) Tbk;2020;16;377915
PT LEN Industri (Persero);2020;15;143056
PT Pelabuhan Indonesia (Persero);2020;46;3637182
PT Pelayaran Nasional Indonesia (Persero);2020;45;6571948
PT Pembangunan Perumahan (Persero) Tbk;2020;39;2399975
