Company;Year;Code;Revenue
Perum Bulog;2021;18;21962846
Perum Damri;2021;47;638583
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2021;5;1347520
Perum Pengangkutan Penumpang Djakarta;2021;48;371689
Perum Percetakan Uang Republik Indonesia;2021;33;3424231
Perum Perhutani;2021;22;4603744
Perum Perumnas;2021;43;795605
Perum Produksi Film Negara;2021;9;9474
PT Adhi Karya (Persero) Tbk;2021;34;11530472
PT ASABRI (Persero);2021;26;10534728
PT ASDP Indonesia Ferry (Persero);2021;44;3487204
PT Asuransi Jiwasraya (Persero);2021;27;7076256
PT Aviasi Pariwisata Indonesia (Persero);2021;3;9732834
PT Bahana Pembinaan Usaha Indonesia (Persero);2021;28;10530293
PT Bank Mandiri (Persero) Tbk;2021;29;146043264
PT Bank Negara Indonesia (Persero) Tbk;2021;30;72132230
PT Bank Rakyat Indonesia (Persero) Tbk;2021;31;191728919
PT Bank Tabungan Negara (Persero) Tbk;2021;32;28157525
PT BioFarma (Persero);2021;12;43436967
PT Biro Klasifikasi Indonesia (Persero);2021;14;5147013
PT Brantas Abipraya (Persero);2021;36;2663513
PT Danareksa (Persero);2021;7;602069
PT Garuda Indonesia (Persero) Tbk;2021;4;19217633
PT Hutama Karya (Persero);2021;37;20484998
PT Indonesia Asahan Aluminium (Persero);2021;23;93751489
PT Industri Kereta Api (Persero);2021;17;2361471
PT Industri Nuklir Indonesia (Persero);2021;13;23012
PT Jasa Marga (Persero) Tbk;2021;38;15169552
PT Kereta Api Indonesia (Persero);2021;50;17916776
PT Krakatau Steel (Persero) Tbk;2021;16;30857674
PT LEN Industri (Persero);2021;15;4778419
PT Pelabuhan Indonesia (Persero);2021;46;32239657
PT Pelayaran Nasional Indonesia (Persero);2021;45;4410053
PT Pembangunan Perumahan (Persero) Tbk;2021;39;16763937
PT Pengembangan Pariwisata Indonesia (Persero);2021;6;320205
PT Perkebunan Nusantara III (Persero);2021;21;53569662
PT Pertamina (Persero);2021;10;823065845
PT Perusahaan Listrik Negara (Persero);2021;11;368174270
PT Pos Indonesia (Persero);2021;49;4418940
PT Pupuk Indonesia (Persero);2021;19;78603136
PT Rajawali Nusantara Indonesia (Persero);2021;20;8019118
PT Reasuransi Indonesia Utama (Persero);2021;24;4303085
PT Semen Baturaja (Persero) Tbk;2021;35;1751586
PT Semen Indonesia (Persero) Tbk;2021;40;34957871
PT Taspen (Persero);2021;25;20434380
PT Telekomunikasi Indonesia (Persero) Tbk;2021;8;143210000
PT Waskita Karya (Persero) Tbk;2021;41;11959370
PT Wijaya Karya (Persero) Tbk;2021;42;17809718
Perum Bulog;2020;18;550907
Perum Damri;2020;47;389603
Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;2020;5;7459
Perum Pengangkutan Penumpang Djakarta;2020;48;697609
Perum Percetakan Uang Republik Indonesia;2020;33;324949
Perum Perhutani;2020;22;27698291
Perum Perumnas;2020;43;4524290
Perum Produksi Film Negara;2020;9;145427
PT Adhi Karya (Persero) Tbk;2020;34;579968
PT ASABRI (Persero);2020;26;544715071
PT ASDP Indonesia Ferry (Persero);2020;44;2680753
PT Asuransi Jiwasraya (Persero);2020;27;1266990
PT Aviasi Pariwisata Indonesia (Persero);2020;3;126207331
PT Bahana Pembinaan Usaha Indonesia (Persero);2020;28;52898
PT Bank Mandiri (Persero) Tbk;2020;29;179604
PT Bank Negara Indonesia (Persero) Tbk;2020;30;241307
PT Bank Rakyat Indonesia (Persero) Tbk;2020;31;41337438
PT Bank Tabungan Negara (Persero) Tbk;2020;32;5776257
PT BioFarma (Persero);2020;12;2763930
PT Biro Klasifikasi Indonesia (Persero);2020;14;107487161
PT Brantas Abipraya (Persero);2020;36;199106
PT Danareksa (Persero);2020;7;6974084
PT Garuda Indonesia (Persero) Tbk;2020;4;2865138
PT Hutama Karya (Persero);2020;37;21642841
